policy_name,summary_scope,template_id,template_kind,template_split,scenario_count,answer_correctness,false_assertion_rate,leakage_rate,premature_promotion_rate,poison_promotion_rate,clean_durable_displacement_rate,retraction_demotion_rate,stale_evidence_promotion_rate,narrow_scope_override_success_rate,pending_competition_resolution_rate,useful_recall,used_pending,durable_commit,useful_recall_before_contradiction,used_pending_before_contradiction,durable_commit_before_contradiction,false_assertion_after_contradiction,contradiction_recovery_rate,answer_correctness_after_contradiction,average_time_to_demotion,comparison_name,comparison_metric_name,comparison_reference_policy_name,comparison_comparator_policy_name,comparison_point_estimate_delta,comparison_one_sided_95_lcb
consolidation_queue_lite,template_id,adversarial_temporal_skew_v2,,,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
consolidation_queue_lite,template_id,adversarial_witness_conflict_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_contestation_demotion,overall,,,,300,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_contestation_demotion,template_kind,,dirty,,300,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_contestation_demotion,template_split,,,heldout,300,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_contestation_demotion,template_id,adversarial_pending_competition_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_contestation_demotion,template_id,adversarial_retraction_v2,,,60,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_contestation_demotion,template_id,adversarial_scope_narrowing_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_contestation_demotion,template_id,adversarial_temporal_skew_v2,,,60,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_contestation_demotion,template_id,adversarial_witness_conflict_v2,,,60,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_wider_scope_pending_override,overall,,,,300,0.6,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_wider_scope_pending_override,template_kind,,dirty,,300,0.6,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_wider_scope_pending_override,template_split,,,heldout,300,0.6,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_wider_scope_pending_override,template_id,adversarial_pending_competition_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_wider_scope_pending_override,template_id,adversarial_retraction_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_wider_scope_pending_override,template_id,adversarial_scope_narrowing_v2,,,60,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_wider_scope_pending_override,template_id,adversarial_temporal_skew_v2,,,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_wider_scope_pending_override,template_id,adversarial_witness_conflict_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_pending_lookup_use,overall,,,,300,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_pending_lookup_use,template_kind,,dirty,,300,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_pending_lookup_use,template_split,,,heldout,300,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_pending_lookup_use,template_id,adversarial_pending_competition_v2,,,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_pending_lookup_use,template_id,adversarial_retraction_v2,,,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_pending_lookup_use,template_id,adversarial_scope_narrowing_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_pending_lookup_use,template_id,adversarial_temporal_skew_v2,,,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_pending_lookup_use,template_id,adversarial_witness_conflict_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_source_independence_gate,overall,,,,300,0.6,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.6,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_source_independence_gate,template_kind,,dirty,,300,0.6,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.6,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_source_independence_gate,template_split,,,heldout,300,0.6,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.6,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_source_independence_gate,template_id,adversarial_pending_competition_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_source_independence_gate,template_id,adversarial_retraction_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_source_independence_gate,template_id,adversarial_scope_narrowing_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_source_independence_gate,template_id,adversarial_temporal_skew_v2,,,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
cq_no_source_independence_gate,template_id,adversarial_witness_conflict_v2,,,60,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
naive_eager_write_lite,overall,,,,300,0.2,0.8,0.0,0.6,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
naive_eager_write_lite,template_kind,,dirty,,300,0.2,0.8,0.0,0.6,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
naive_eager_write_lite,template_split,,,heldout,300,0.2,0.8,0.0,0.6,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
naive_eager_write_lite,template_id,adversarial_pending_competition_v2,,,60,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
naive_eager_write_lite,template_id,adversarial_retraction_v2,,,60,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
naive_eager_write_lite,template_id,adversarial_scope_narrowing_v2,,,60,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
naive_eager_write_lite,template_id,adversarial_temporal_skew_v2,,,60,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
naive_eager_write_lite,template_id,adversarial_witness_conflict_v2,,,60,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
no_memory_lite,overall,,,,300,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
no_memory_lite,template_kind,,dirty,,300,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
no_memory_lite,template_split,,,heldout,300,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
no_memory_lite,template_id,adversarial_pending_competition_v2,,,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
no_memory_lite,template_id,adversarial_retraction_v2,,,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
no_memory_lite,template_id,adversarial_scope_narrowing_v2,,,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
no_memory_lite,template_id,adversarial_temporal_skew_v2,,,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
no_memory_lite,template_id,adversarial_witness_conflict_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scope_blind_transcript_rag_lite,overall,,,,300,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scope_blind_transcript_rag_lite,template_kind,,dirty,,300,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scope_blind_transcript_rag_lite,template_split,,,heldout,300,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scope_blind_transcript_rag_lite,template_id,adversarial_pending_competition_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scope_blind_transcript_rag_lite,template_id,adversarial_retraction_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scope_blind_transcript_rag_lite,template_id,adversarial_scope_narrowing_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scope_blind_transcript_rag_lite,template_id,adversarial_temporal_skew_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scope_blind_transcript_rag_lite,template_id,adversarial_witness_conflict_v2,,,60,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
mem0_lite,overall,,,,300,0.6,0.4,0.0,0.6,0.0,0.0,0.2,0.2,0.2,0.2,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
mem0_lite,template_kind,,dirty,,300,0.6,0.4,0.0,0.6,0.0,0.0,0.2,0.2,0.2,0.2,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
mem0_lite,template_split,,,heldout,300,0.6,0.4,0.0,0.6,0.0,0.0,0.2,0.2,0.2,0.2,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
mem0_lite,template_id,adversarial_pending_competition_v2,,,60,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
mem0_lite,template_id,adversarial_retraction_v2,,,60,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
mem0_lite,template_id,adversarial_scope_narrowing_v2,,,60,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
mem0_lite,template_id,adversarial_temporal_skew_v2,,,60,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
mem0_lite,template_id,adversarial_witness_conflict_v2,,,60,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
,template_id_comparison,adversarial_pending_competition_v2,,,60,,,,,,,,,,,,,,,,,,,,,consolidation_queue_vs_reflection_by_template_id,answer_correctness,consolidation_queue_lite,reflection_eager_write_lite,1.0,1.0
,template_id_comparison,adversarial_retraction_v2,,,60,,,,,,,,,,,,,,,,,,,,,consolidation_queue_vs_reflection_by_template_id,answer_correctness,consolidation_queue_lite,reflection_eager_write_lite,1.0,1.0
,template_id_comparison,adversarial_scope_narrowing_v2,,,60,,,,,,,,,,,,,,,,,,,,,consolidation_queue_vs_reflection_by_template_id,answer_correctness,consolidation_queue_lite,reflection_eager_write_lite,1.0,1.0
,template_id_comparison,adversarial_temporal_skew_v2,,,60,,,,,,,,,,,,,,,,,,,,,consolidation_queue_vs_reflection_by_template_id,answer_correctness,consolidation_queue_lite,reflection_eager_write_lite,-1.0,-1.0
,template_id_comparison,adversarial_witness_conflict_v2,,,60,,,,,,,,,,,,,,,,,,,,,consolidation_queue_vs_reflection_by_template_id,answer_correctness,consolidation_queue_lite,reflection_eager_write_lite,1.0,1.0
,template_id_comparison,adversarial_pending_competition_v2,,,60,,,,,,,,,,,,,,,,,,,,,mem0_vs_reflection_by_template_id,answer_correctness,mem0_lite,reflection_eager_write_lite,1.0,1.0
,template_id_comparison,adversarial_retraction_v2,,,60,,,,,,,,,,,,,,,,,,,,,mem0_vs_reflection_by_template_id,answer_correctness,mem0_lite,reflection_eager_write_lite,1.0,1.0
,template_id_comparison,adversarial_scope_narrowing_v2,,,60,,,,,,,,,,,,,,,,,,,,,mem0_vs_reflection_by_template_id,answer_correctness,mem0_lite,reflection_eager_write_lite,1.0,1.0
,template_id_comparison,adversarial_temporal_skew_v2,,,60,,,,,,,,,,,,,,,,,,,,,mem0_vs_reflection_by_template_id,answer_correctness,mem0_lite,reflection_eager_write_lite,-1.0,-1.0
,template_id_comparison,adversarial_witness_conflict_v2,,,60,,,,,,,,,,,,,,,,,,,,,mem0_vs_reflection_by_template_id,answer_correctness,mem0_lite,reflection_eager_write_lite,0.0,0.0
